text,label
"sore throat, dizziness, muscle pain, headache",1
sore throat,2
headache,2
"fever, loss of appetite, stomach ache",1
"nausea, muscle pain, sore throat, runny nose, chills",1
"cough, fatigue, dizziness, chills, nausea",0
"fatigue, headache, nausea, shortness of breath",2
"shortness of breath, fever",2
"loss of appetite, stomach ache, shortness of breath, runny nose",0
"fever, cough, runny nose, headache, loss of appetite",1
cough,1
"headache, loss of appetite",1
"sore throat, chills, muscle pain, runny nose, shortness of breath",1
"dizziness, nausea, fever, fatigue, muscle pain",0
"chills, sore throat",2
"stomach ache, dizziness, headache",0
dizziness,1
chills,0
"sore throat, headache",2
"fever, headache",1
"chills, loss of appetite, headache, stomach ache, fatigue",2
"chills, cough, fatigue",2
headache,0
"fever, dizziness, loss of appetite, headache",1
"chills, runny nose",2
"cough, fever",0
"muscle pain, fever",1
nausea,2
"sore throat, nausea, headache, fatigue, stomach ache",1
"dizziness, headache, shortness of breath",0
"muscle pain, chills",0
fever,2
"cough, nausea",1
muscle pain,1
"shortness of breath, stomach ache, nausea, sore throat, runny nose",0
sore throat,1
nausea,1
nausea,2
chills,0
fever,2
runny nose,1
"sore throat, nausea, headache",0
fever,2
"headache, runny nose",0
"headache, shortness of breath, fever, loss of appetite",2
"dizziness, stomach ache, nausea",0
"runny nose, muscle pain, dizziness, sore throat, nausea",2
"loss of appetite, stomach ache",0
"runny nose, fatigue, nausea, headache, sore throat",0
"sore throat, dizziness",1
"muscle pain, cough, shortness of breath",1
"nausea, loss of appetite, sore throat",1
"runny nose, muscle pain, loss of appetite, headache, dizziness",1
"fever, chills, headache",0
"chills, fever, stomach ache, loss of appetite, cough",1
"fever, nausea, cough",0
"muscle pain, stomach ache",2
"muscle pain, shortness of breath, fatigue",1
"runny nose, stomach ache, fatigue",0
"nausea, loss of appetite, dizziness, fatigue, muscle pain",1
"sore throat, cough",2
sore throat,2
"headache, stomach ache, dizziness, sore throat",1
headache,1
"muscle pain, headache, runny nose, dizziness",1
"muscle pain, nausea",0
"sore throat, fever, nausea",1
"sore throat, nausea, loss of appetite, fatigue",0
"muscle pain, loss of appetite, headache",2
"runny nose, muscle pain, shortness of breath, loss of appetite",0
muscle pain,2
"runny nose, cough, stomach ache, muscle pain",2
"cough, loss of appetite, fatigue, headache",2
"loss of appetite, shortness of breath, cough, headache, fever",2
"runny nose, dizziness, fatigue, loss of appetite, nausea",0
"runny nose, sore throat",1
"dizziness, shortness of breath",2
"chills, dizziness, shortness of breath",2
"loss of appetite, fatigue",1
"sore throat, loss of appetite, headache, nausea",0
"nausea, muscle pain, headache, stomach ache",2
"loss of appetite, sore throat, fatigue, nausea",2
"sore throat, fatigue, headache, dizziness, shortness of breath",1
"nausea, cough",1
nausea,0
"runny nose, fatigue, loss of appetite, fever",1
"fever, chills",1
"stomach ache, sore throat, loss of appetite, headache",0
"chills, fever, nausea, shortness of breath, sore throat",2
"nausea, muscle pain, cough, runny nose",2
"shortness of breath, fever, muscle pain",1
"nausea, runny nose, headache",1
"fever, nausea, headache",2
sore throat,2
sore throat,1
"runny nose, dizziness, nausea, headache, fatigue",2
"muscle pain, headache, dizziness",1
"stomach ache, loss of appetite, chills, fatigue, runny nose",1
"cough, stomach ache, chills",0
"headache, nausea, runny nose, muscle pain, fever",2
chills,0
sore throat,1
"fever, headache, dizziness, chills, stomach ache",1
"sore throat, nausea, chills, headache",2
"loss of appetite, dizziness",1
"sore throat, runny nose, chills",1
"fatigue, nausea, runny nose",1
"dizziness, muscle pain, headache, chills, stomach ache",0
"nausea, fever, fatigue, stomach ache",2
"nausea, sore throat, muscle pain, fatigue",2
"muscle pain, fever, sore throat, stomach ache, headache",0
shortness of breath,0
"muscle pain, sore throat, fatigue, headache, loss of appetite",0
"shortness of breath, runny nose, stomach ache, chills, loss of appetite",0
"headache, runny nose",0
"loss of appetite, muscle pain, shortness of breath",2
"nausea, shortness of breath, chills, runny nose",0
"stomach ache, fatigue, chills, fever, nausea",1
"muscle pain, cough, runny nose, fever, nausea",0
"shortness of breath, fatigue",1
"shortness of breath, cough, loss of appetite, sore throat, dizziness",1
"stomach ache, muscle pain, chills, cough, sore throat",0
"runny nose, sore throat, cough, headache",1
"nausea, fever, runny nose, cough",1
"chills, stomach ache, headache, dizziness",0
"muscle pain, fatigue, cough, dizziness, fever",1
"shortness of breath, cough, loss of appetite",0
"stomach ache, sore throat",1
nausea,0
"loss of appetite, runny nose, shortness of breath, headache, chills",2
"headache, cough, nausea",0
"muscle pain, headache, stomach ache, fatigue",2
"headache, nausea",0
"cough, headache, stomach ache",0
"chills, headache, runny nose, sore throat, cough",1
"loss of appetite, muscle pain, stomach ache, cough",2
"cough, sore throat",2
headache,0
"loss of appetite, stomach ache, fatigue",0
"loss of appetite, nausea, stomach ache, chills, fever",2
"stomach ache, runny nose, nausea, headache",0
"dizziness, runny nose",2
"runny nose, stomach ache",2
"nausea, runny nose, chills, dizziness",0
"nausea, shortness of breath, headache",2
"stomach ache, nausea, sore throat, cough, chills",0
"shortness of breath, loss of appetite, runny nose, cough, dizziness",2
"shortness of breath, runny nose, cough",1
"nausea, headache, dizziness, sore throat, shortness of breath",2
"dizziness, runny nose, headache",0
"sore throat, cough, nausea",1
"shortness of breath, muscle pain, stomach ache, fatigue",1
"fatigue, runny nose, stomach ache, sore throat",1
"fever, muscle pain",0
"chills, cough, shortness of breath, muscle pain, headache",1
"nausea, chills",2
"stomach ache, shortness of breath, runny nose, fatigue",2
"muscle pain, cough, headache",2
"loss of appetite, headache, cough, muscle pain, fever",0
"muscle pain, runny nose, fever, headache",0
"muscle pain, fatigue",2
"fever, dizziness",0
sore throat,0
"headache, dizziness, nausea",2
stomach ache,1
"muscle pain, shortness of breath, loss of appetite, fever, fatigue",2
"shortness of breath, headache",0
"loss of appetite, dizziness, fever, headache",1
"stomach ache, chills, fever",0
"dizziness, chills, headache, cough",0
"runny nose, muscle pain",1
"sore throat, stomach ache, loss of appetite",1
"muscle pain, sore throat, fever, dizziness, fatigue",1
"muscle pain, chills, sore throat, loss of appetite, runny nose",0
"cough, muscle pain, stomach ache",1
"dizziness, fever",1
sore throat,2
"loss of appetite, stomach ache, fever, shortness of breath",2
"fever, nausea, chills",1
"runny nose, stomach ache",2
"dizziness, stomach ache, loss of appetite, shortness of breath, chills",1
"sore throat, cough, nausea",1
"stomach ache, dizziness, fever, nausea, headache",1
"muscle pain, chills, runny nose",1
runny nose,0
"chills, nausea",2
chills,2
"loss of appetite, runny nose, stomach ache, cough, muscle pain",1
"runny nose, cough, shortness of breath",2
"chills, headache, dizziness, fatigue, nausea",0
"muscle pain, sore throat",2
stomach ache,2
runny nose,2
"nausea, dizziness, stomach ache",0
"fatigue, dizziness",1
"runny nose, shortness of breath",2
"fatigue, fever",2
"cough, shortness of breath, loss of appetite, headache",0
"loss of appetite, stomach ache",0
dizziness,1
"sore throat, headache, cough",2
"fatigue, sore throat, shortness of breath",2
"fatigue, chills",1
"runny nose, dizziness, sore throat, fatigue",0
"headache, chills, sore throat, muscle pain",0
"shortness of breath, fever, sore throat, cough, nausea",0
"cough, chills, fatigue",0
"headache, shortness of breath, loss of appetite",1
"shortness of breath, sore throat, dizziness, fever, fatigue",1
"sore throat, muscle pain",1
"shortness of breath, runny nose, fatigue, sore throat",0
"runny nose, sore throat, loss of appetite, dizziness, headache",2
"fever, headache, cough, loss of appetite, chills",1
sore throat,1
"cough, muscle pain, stomach ache, chills",2
"fever, muscle pain, fatigue, loss of appetite",0
"nausea, sore throat",1
"muscle pain, loss of appetite, runny nose",0
"headache, fatigue, dizziness",0
"chills, muscle pain",2
"shortness of breath, fatigue, chills",2
"chills, dizziness, cough, runny nose",1
"cough, headache, fever, shortness of breath",0
"cough, dizziness, shortness of breath, fever",0
"muscle pain, fever, chills, shortness of breath",0
"chills, sore throat, fever",1
sore throat,1
"fatigue, sore throat",0
"loss of appetite, cough",0
loss of appetite,1
"runny nose, fever, shortness of breath",2
"muscle pain, fever",2
runny nose,1
"chills, muscle pain, cough, shortness of breath",0
"stomach ache, chills",2
"loss of appetite, nausea, chills",0
"nausea, cough, muscle pain",2
"cough, fever, runny nose",0
"muscle pain, fatigue, stomach ache, nausea",1
"sore throat, dizziness, muscle pain",2
"cough, runny nose",1
"shortness of breath, dizziness, sore throat, chills, loss of appetite",2
"fever, fatigue, nausea, muscle pain",0
"fatigue, sore throat, nausea",1
"cough, loss of appetite",2
"loss of appetite, fatigue, runny nose",2
shortness of breath,2
"headache, fever",0
"headache, fatigue, cough, muscle pain, fever",2
"muscle pain, fatigue, shortness of breath, dizziness, loss of appetite",0
"muscle pain, headache, fever",2
"runny nose, sore throat, shortness of breath",1
"chills, dizziness, cough",0
"shortness of breath, fever, stomach ache, chills, cough",1
"nausea, chills, dizziness, sore throat, fever",2
"nausea, fatigue, headache, stomach ache, fever",1
"dizziness, nausea",0
"muscle pain, runny nose, dizziness, sore throat",2
dizziness,2
"sore throat, shortness of breath",1
"dizziness, loss of appetite, runny nose, shortness of breath, muscle pain",1
"stomach ache, cough, fatigue, muscle pain",1
"fatigue, stomach ache, loss of appetite",2
"shortness of breath, muscle pain",2
"chills, sore throat",1
"nausea, shortness of breath, stomach ache, headache, muscle pain",0
"shortness of breath, sore throat, nausea, cough",1
"cough, loss of appetite, nausea, fever",2
"headache, nausea, dizziness",0
runny nose,2
"fever, cough, shortness of breath, runny nose, dizziness",0
"chills, dizziness, loss of appetite",0
loss of appetite,2
"shortness of breath, dizziness, nausea, cough",0
"loss of appetite, shortness of breath, fever, dizziness, headache",2
"nausea, stomach ache, sore throat, cough",0
"stomach ache, headache, nausea, fatigue",0
"sore throat, cough",2
chills,1
"stomach ache, dizziness, nausea, runny nose",1
"headache, dizziness, muscle pain, shortness of breath",1
stomach ache,0
"chills, muscle pain, headache, stomach ache",1
"stomach ache, shortness of breath, fever, headache",1
"cough, nausea, chills",0
"headache, sore throat, fatigue",2
"stomach ache, chills, muscle pain, headache, shortness of breath",2
"stomach ache, headache, nausea",1
"stomach ache, dizziness, shortness of breath, muscle pain",2
"chills, muscle pain",2
"cough, fever, runny nose",1
"muscle pain, fatigue, headache, nausea, chills",0
"nausea, loss of appetite, fever",1
"nausea, runny nose",0
"chills, shortness of breath, nausea, dizziness",0
"fever, stomach ache",2
"nausea, shortness of breath, chills",2
"sore throat, runny nose",0
"shortness of breath, fever, muscle pain, dizziness, nausea",2
"stomach ache, chills, dizziness, nausea",2
"nausea, sore throat",0
stomach ache,0
dizziness,2
"headache, stomach ache, dizziness, sore throat, shortness of breath",2
"muscle pain, headache, sore throat, cough",0
"nausea, fatigue, fever",0
"loss of appetite, dizziness, stomach ache, runny nose",0
"fever, fatigue, nausea, cough",1
"fever, shortness of breath, dizziness",2
"muscle pain, fever, shortness of breath, chills",1
"cough, runny nose, headache",2
"nausea, dizziness, cough",2
"shortness of breath, stomach ache, sore throat",0
"sore throat, muscle pain, fever, fatigue, nausea",0
chills,1
"sore throat, cough, shortness of breath, fatigue, chills",2
"loss of appetite, chills",1
"fatigue, sore throat",0
"runny nose, fever, stomach ache",2
"fever, headache, dizziness, sore throat, muscle pain",1
"nausea, chills, shortness of breath, runny nose, headache",2
"cough, fatigue, stomach ache, runny nose",2
"nausea, stomach ache",0
"loss of appetite, runny nose, dizziness",0
"muscle pain, headache, dizziness, cough, shortness of breath",2
"runny nose, nausea",0
"stomach ache, fever, fatigue, headache",0
"loss of appetite, shortness of breath, sore throat",1
headache,1
"nausea, runny nose, dizziness",1
runny nose,0
"chills, cough, shortness of breath, nausea, muscle pain",0
"sore throat, cough, stomach ache",1
"stomach ache, fatigue",0
chills,2
"headache, shortness of breath, stomach ache, dizziness, nausea",1
"nausea, cough, dizziness, shortness of breath, fever",2
"sore throat, loss of appetite",0
"dizziness, shortness of breath",0
"muscle pain, headache, shortness of breath, chills, stomach ache",1
"sore throat, shortness of breath, cough, fever",2
"headache, fever",2
"chills, fatigue, runny nose, dizziness",1
"runny nose, headache, nausea",1
"stomach ache, runny nose",1
"cough, sore throat, shortness of breath, dizziness, muscle pain",2
"nausea, cough",2
nausea,1
"dizziness, muscle pain, fever",1
"headache, stomach ache, shortness of breath, chills, fever",1
"shortness of breath, cough, headache",0
stomach ache,1
chills,0
headache,2
"loss of appetite, dizziness, fatigue",2
nausea,2
"muscle pain, dizziness, shortness of breath, fever",1
"fever, loss of appetite, dizziness, stomach ache, headache",1
"fatigue, muscle pain, headache, sore throat, cough",0
"sore throat, cough",2
"sore throat, cough",1
"fatigue, muscle pain, fever, shortness of breath",2
"muscle pain, runny nose, dizziness",1
"cough, runny nose, shortness of breath",2
"cough, loss of appetite, dizziness, stomach ache",1
"cough, sore throat, runny nose, dizziness",1
"fever, headache",1
chills,1
"dizziness, chills, muscle pain",1
"headache, sore throat",1
"muscle pain, fever, headache, dizziness",0
"shortness of breath, nausea, loss of appetite, stomach ache",1
"fatigue, shortness of breath, nausea",0
"fatigue, dizziness, chills, loss of appetite",0
"nausea, sore throat",0
muscle pain,0
"muscle pain, headache, shortness of breath",1
"nausea, runny nose",2
"fever, fatigue, sore throat",0
dizziness,0
"runny nose, dizziness",1
"runny nose, nausea, dizziness, headache, sore throat",2
"runny nose, fatigue, nausea, sore throat",0
"sore throat, chills, nausea",1
"dizziness, loss of appetite, fatigue, nausea, cough",2
"shortness of breath, fatigue, sore throat",0
"sore throat, runny nose",2
"loss of appetite, cough, shortness of breath, muscle pain",2
fever,2
"stomach ache, runny nose, fatigue, nausea",2
"chills, loss of appetite, runny nose, headache, fatigue",0
"headache, runny nose, dizziness, shortness of breath, fever",2
headache,1
"headache, sore throat, loss of appetite, fever",2
"loss of appetite, dizziness, fatigue",0
sore throat,0
"nausea, shortness of breath, sore throat, runny nose",1
sore throat,0
"dizziness, muscle pain, fatigue, shortness of breath",2
"chills, loss of appetite",2
"shortness of breath, stomach ache, dizziness, headache, chills",1
"fever, muscle pain, headache",0
"loss of appetite, nausea, sore throat, chills, muscle pain",0
runny nose,1
"cough, dizziness, sore throat, runny nose",2
"fatigue, fever",0
"fatigue, cough, stomach ache, runny nose, shortness of breath",1
"cough, dizziness, fatigue",0
"loss of appetite, muscle pain, dizziness, chills",1
"runny nose, shortness of breath, headache, fatigue",2
chills,1
"stomach ache, fever, cough",2
"sore throat, fever, fatigue, cough",2
"loss of appetite, muscle pain, dizziness",1
"headache, nausea, fatigue, muscle pain",0
"stomach ache, chills",0
"chills, headache, shortness of breath, nausea, muscle pain",2
"dizziness, sore throat, runny nose, chills, loss of appetite",0
shortness of breath,1
"headache, fever, muscle pain, dizziness",0
"shortness of breath, stomach ache, dizziness, sore throat, headache",1
"runny nose, headache",1
"loss of appetite, shortness of breath, headache",0
"dizziness, headache",0
loss of appetite,0
fever,0
"dizziness, sore throat, shortness of breath, nausea, fatigue",0
"fever, chills, stomach ache, nausea, sore throat",0
"nausea, fever",1
"cough, loss of appetite, dizziness, fatigue",1
"shortness of breath, cough, loss of appetite, fever",2
"shortness of breath, runny nose, stomach ache, muscle pain, loss of appetite",2
chills,2
"sore throat, fever, loss of appetite",2
"fever, headache, nausea, fatigue, loss of appetite",0
"fatigue, headache, sore throat",0
"cough, shortness of breath, dizziness",2
"cough, fever",2
"nausea, stomach ache, fever, muscle pain",0
"muscle pain, nausea, runny nose",1
"chills, nausea",2
"shortness of breath, headache, fatigue",1
runny nose,1
"nausea, headache, fatigue, stomach ache",2
"fever, muscle pain",2
"nausea, runny nose, muscle pain",2
sore throat,1
"headache, fatigue, cough",2
"sore throat, fever, runny nose, cough",1
"nausea, cough, sore throat",2
"shortness of breath, cough, chills",2
headache,2
"loss of appetite, dizziness",2
"shortness of breath, cough, fatigue, nausea",0
"loss of appetite, fever, headache, fatigue, runny nose",2
cough,0
"loss of appetite, sore throat, headache, nausea, chills",0
"stomach ache, fatigue, sore throat, fever, shortness of breath",0
sore throat,1
"fever, loss of appetite, sore throat",0
"sore throat, muscle pain, dizziness, cough",0
"fever, muscle pain, stomach ache, headache",1
"dizziness, fatigue, stomach ache, fever",1
"loss of appetite, headache",1
"loss of appetite, muscle pain",0
"fatigue, shortness of breath, sore throat, stomach ache",0
"chills, fatigue, cough",2
"chills, muscle pain, stomach ache, runny nose, dizziness",0
"headache, sore throat, nausea",1
"sore throat, fever, headache, fatigue",1
fatigue,1
"muscle pain, loss of appetite, shortness of breath",2
"sore throat, fatigue, fever, runny nose",2
stomach ache,2
"stomach ache, fatigue",0
"sore throat, cough",1
"stomach ache, runny nose",2
"sore throat, runny nose, fatigue",1
"cough, nausea",1
"fatigue, chills, dizziness, stomach ache",0
"runny nose, nausea, cough",0
"headache, dizziness, nausea, fatigue",0
"headache, fever, chills, cough, loss of appetite",2
runny nose,2
nausea,0
"runny nose, muscle pain, chills, sore throat, fever",2
"nausea, sore throat, shortness of breath, cough, runny nose",2
"stomach ache, muscle pain, shortness of breath, headache, dizziness",0
chills,1
"fatigue, shortness of breath, nausea, loss of appetite",1
"runny nose, shortness of breath, stomach ache",1
"dizziness, runny nose, loss of appetite",1
"nausea, stomach ache, sore throat",1
"runny nose, chills, cough",0
"loss of appetite, chills",2
"dizziness, nausea",1
"runny nose, chills",2
"shortness of breath, stomach ache, fever",1
"cough, nausea, headache, stomach ache",0
"dizziness, runny nose",0
chills,0
"sore throat, dizziness, shortness of breath",2
"headache, dizziness, loss of appetite, fever",2
"dizziness, sore throat, headache",2
"muscle pain, stomach ache, chills, sore throat, shortness of breath",2
"cough, fever, runny nose",0
"chills, stomach ache, sore throat, muscle pain, dizziness",0
"chills, fatigue, nausea, dizziness",0
"muscle pain, nausea, loss of appetite",2
"fatigue, cough, shortness of breath, headache",1
"chills, headache",1
"stomach ache, headache, nausea",1
"sore throat, runny nose",1
"runny nose, muscle pain, nausea, fever",2
"headache, shortness of breath",1
"stomach ache, fatigue, sore throat, muscle pain",2
runny nose,0
"stomach ache, shortness of breath",0
"chills, headache",2
"loss of appetite, chills, fever",0
"dizziness, muscle pain, nausea",2
"stomach ache, chills, headache, sore throat",0
"nausea, dizziness, stomach ache",1
"nausea, chills, fatigue",2
"fatigue, cough, nausea, headache, runny nose",2
"fatigue, headache, chills, stomach ache, nausea",2
"cough, sore throat, nausea, runny nose, headache",1
"dizziness, muscle pain, runny nose, cough",2
"headache, loss of appetite",1
"fatigue, loss of appetite, fever",1
dizziness,1
"shortness of breath, muscle pain, loss of appetite, chills",1
stomach ache,2
nausea,0
"sore throat, loss of appetite, dizziness, shortness of breath, runny nose",0
"fever, nausea, loss of appetite",1
"chills, fever, dizziness, loss of appetite",0
"fever, shortness of breath, headache, fatigue, sore throat",2
"sore throat, chills, fever",2
"dizziness, stomach ache, loss of appetite, fever, muscle pain",0
"muscle pain, dizziness, headache",2
"runny nose, sore throat, chills, fever",1
"fever, stomach ache, dizziness",1
nausea,1
"shortness of breath, runny nose, loss of appetite, dizziness",0
"headache, shortness of breath, nausea, stomach ache",0
"nausea, chills, fever",1
"headache, sore throat",1
"runny nose, loss of appetite, sore throat",0
"runny nose, headache",1
"cough, stomach ache",2
"muscle pain, fatigue, runny nose, loss of appetite",2
"muscle pain, stomach ache, chills, fever",0
"cough, headache, fever",0
"cough, chills",1
"fever, stomach ache, runny nose",2
"sore throat, fatigue, runny nose, loss of appetite",0
"fever, nausea, stomach ache, shortness of breath",1
"runny nose, fever",1
"fatigue, headache",0
"dizziness, stomach ache",2
"dizziness, muscle pain, stomach ache, headache, nausea",2
shortness of breath,0
chills,0
"headache, nausea, runny nose, muscle pain",0
"loss of appetite, headache",1
"shortness of breath, loss of appetite, sore throat, nausea, dizziness",1
"fatigue, cough, sore throat, runny nose, shortness of breath",0
"runny nose, shortness of breath, dizziness, stomach ache",1
"muscle pain, runny nose",0
"loss of appetite, sore throat, stomach ache, cough",2
runny nose,2
"sore throat, runny nose, nausea, fever, stomach ache",2
"loss of appetite, stomach ache",2
"muscle pain, shortness of breath",2
"cough, headache, chills",0
fever,1
"dizziness, fever",0
"nausea, headache",2
"loss of appetite, chills, fever",2
dizziness,2
"headache, muscle pain, cough, chills, dizziness",2
fatigue,2
stomach ache,0
"sore throat, loss of appetite, cough",1
cough,0
"chills, muscle pain, sore throat, cough, nausea",1
dizziness,0
"fever, chills, shortness of breath",2
"chills, runny nose, cough, fatigue",0
fatigue,0
"headache, muscle pain",1
dizziness,2
"cough, dizziness, shortness of breath, fever",1
"dizziness, runny nose, stomach ache, cough",0
"fever, sore throat, chills",0
"sore throat, muscle pain, fatigue, runny nose, stomach ache",1
"sore throat, loss of appetite, headache",2
loss of appetite,1
"dizziness, muscle pain, stomach ache, sore throat, shortness of breath",0
"nausea, chills, stomach ache, loss of appetite",2
chills,2
"nausea, headache",0
"fever, fatigue, chills, sore throat, nausea",1
fever,0
"stomach ache, muscle pain, fever, runny nose, fatigue",2
"sore throat, chills, nausea",2
"nausea, sore throat, fever, runny nose, dizziness",0
"runny nose, fever, nausea, shortness of breath, stomach ache",1
"muscle pain, loss of appetite",0
stomach ache,2
"sore throat, headache, nausea, cough, shortness of breath",1
"shortness of breath, chills, nausea, fatigue, stomach ache",0
"headache, fever, fatigue",1
dizziness,2
headache,2
"runny nose, fever, headache, cough, stomach ache",2
"runny nose, fatigue, shortness of breath",1
headache,1
"nausea, fatigue, chills, loss of appetite",0
"nausea, runny nose",1
"fatigue, sore throat",1
"shortness of breath, nausea, cough",0
"shortness of breath, dizziness, stomach ache",0
fatigue,2
"shortness of breath, headache",1
"runny nose, fever, fatigue, sore throat",0
"dizziness, chills",1
"muscle pain, dizziness, stomach ache, sore throat",0
"sore throat, headache, nausea, loss of appetite, chills",1
"runny nose, cough, dizziness, fatigue, fever",2
"muscle pain, nausea",1
"stomach ache, headache, loss of appetite",0
muscle pain,2
"muscle pain, runny nose, headache",2
"runny nose, nausea, fatigue, sore throat",2
"dizziness, nausea, fever, fatigue, chills",2
"cough, fatigue, runny nose",0
"fatigue, sore throat, runny nose, stomach ache, loss of appetite",2
"shortness of breath, fever, fatigue, headache",0
"muscle pain, cough, sore throat",2
"nausea, dizziness, stomach ache",1
"muscle pain, fever, loss of appetite, nausea, sore throat",0
"headache, chills, shortness of breath, cough, loss of appetite",0
"stomach ache, runny nose, cough, dizziness, headache",1
dizziness,1
"loss of appetite, stomach ache, shortness of breath",2
fatigue,1
